Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-29 23:48:36.511,114238.0,0.001,BTCUSDT
2025-09-29 23:48:36.977,114238.0,0.013,BTCUSDT
2025-09-29 23:48:37.267,114238.0,0.002,BTCUSDT
2025-09-29 23:48:37.868,114237.9,0.001,BTCUSDT
2025-09-29 23:48:37.994,114238.0,0.013,BTCUSDT
2025-09-29 23:48:39.036,114238.0,0.013,BTCUSDT
2025-09-29 23:48:39.753,114238.0,0.198,BTCUSDT
2025-09-29 23:48:39.753,114238.0,0.001,BTCUSDT
2025-09-29 23:48:39.753,114238.0,0.001,BTCUSDT
2025-09-29 23:48:40.069,114238.0,0.005,BTCUSDT
2025-09-29 23:48:40.069,114238.0,0.001,BTCUSDT
2025-09-29 23:48:40.069,114238.0,0.007,BTCUSDT
2025-09-29 23:48:41.108,114238.0,0.013,BTCUSDT
2025-09-29 23:48:42.191,114238.0,0.013,BTCUSDT
2025-09-29 23:48:42.203,114237.9,0.005,BTCUSDT
2025-09-29 23:48:43.152,114238.0,0.013,BTCUSDT
2025-09-29 23:48:43.255,114237.9,0.001,BTCUSDT
2025-09-29 23:48:43.704,114237.9,0.008,BTCUSDT
2025-09-29 23:48:44.196,114238.0,0.013,BTCUSDT
2025-09-29 23:48:44.324,114237.9,0.001,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.335,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.064,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.026,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.026,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.064,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.125,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.103,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.064,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.064,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.103,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.064,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.5,BTCUSDT
2025-09-29 23:48:44.326,114237.9,1.191,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.035,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.206,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.262,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.001,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.001,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.001,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.226,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.046,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.002,BTCUSDT
2025-09-29 23:48:44.326,114237.9,0.009,BTCUSDT
